Source name,Confirmed images,Total points in confirmed images,Unique labels in confirmed images,Link
CVCE Bocas Del Toro Survey,750,15000,20,https://coralnet.ucsd.edu/source/23/
Catlin.Seaview.Survey_Coral.Sea_south,82,8200,27,https://coralnet.ucsd.edu/source/57/
Colby JanPlan,100,4000,5,https://coralnet.ucsd.edu/source/69/
Colby_GrElCaCaMa,300,12000,16,https://coralnet.ucsd.edu/source/70/
WSU West Hawaii,3942,197100,78,https://coralnet.ucsd.edu/source/109/
USSGuardianWreck,990,39600,46,https://coralnet.ucsd.edu/source/155/
Monitoring Program,228,5700,20,https://coralnet.ucsd.edu/source/258/
AIMS LTMP,227,2043,50,https://coralnet.ucsd.edu/source/290/
CREP-REA SAMOA/PRIA,63263,632630,94,https://coralnet.ucsd.edu/source/295/
Israel Monitoring program,5936,94976,78,https://coralnet.ucsd.edu/source/307/
"Punta Cana Reef, Dominican Republic",395,19640,15,https://coralnet.ucsd.edu/source/350/
CREP-REA HAWAII,37955,379550,64,https://coralnet.ucsd.edu/source/372/
CREP-REA MARIANAS,18858,188580,92,https://coralnet.ucsd.edu/source/373/
MarineGEO Belize,439,10975,12,https://coralnet.ucsd.edu/source/376/
HLO GSL,2480,123996,12,https://coralnet.ucsd.edu/source/450/
5 Mile Seasonal Study,1557,112104,47,https://coralnet.ucsd.edu/source/466/
Perhentian BHAB assemblages relation to coral reef community,234,23400,9,https://coralnet.ucsd.edu/source/503/
St. John 2016,78,15600,25,https://coralnet.ucsd.edu/source/546/
Kahekili,13583,203745,49,https://coralnet.ucsd.edu/source/554/
Colby Bermuda 2017,200,8000,13,https://coralnet.ucsd.edu/source/580/
CtoC_DiveValidation,354,17700,35,https://coralnet.ucsd.edu/source/616/
CtoC_SnorkelValidation,206,10300,31,https://coralnet.ucsd.edu/source/620/
"Group 4 (Taylor, Hannah, Tanner)",113,2825,28,https://coralnet.ucsd.edu/source/648/
Vavau,3880,58200,75,https://coralnet.ucsd.edu/source/841/
Okinawa Coral Reef Conservation2017-18,2820,56400,64,https://coralnet.ucsd.edu/source/843/
Water Outlet,62,1860,27,https://coralnet.ucsd.edu/source/921/
Sitti Masita,55,1650,20,https://coralnet.ucsd.edu/source/958/
"2018 Group 4 (Isaac, Kyle, Breno)",225,45000,27,https://coralnet.ucsd.edu/source/1073/
"2018 Group 2 (Becca, Mike, Errika)",209,41800,28,https://coralnet.ucsd.edu/source/1076/
CREP-REA SAMOA/PRIA Calibration,1686,16860,78,https://coralnet.ucsd.edu/source/1097/
CREP-REA SAMOA/PRIA v2,31379,313790,92,https://coralnet.ucsd.edu/source/1288/
Senechal_Hawaii,93,4650,22,https://coralnet.ucsd.edu/source/1300/
Reef restoration SBR,111,2775,12,https://coralnet.ucsd.edu/source/1304/
Richardson's,45,4500,5,https://coralnet.ucsd.edu/source/1308/
Colby Bermuda 2019,185,9250,20,https://coralnet.ucsd.edu/source/1357/
PMNM Benthic LTM,49,49000,40,https://coralnet.ucsd.edu/source/1360/
Algal Distributions/Diversity KBay,188,3008,22,https://coralnet.ucsd.edu/source/1368/
CREP- REA Calibration-NWHI,692,6920,45,https://coralnet.ucsd.edu/source/1372/
CREP-REA NWHI 2017 Tiny Photos,570,5700,39,https://coralnet.ucsd.edu/source/1376/
Tonga,8706,73199,30,https://coralnet.ucsd.edu/source/1388/
ES244_2019,43,1720,13,https://coralnet.ucsd.edu/source/1432/
Bioblits,88,1408,13,https://coralnet.ucsd.edu/source/1440/
Fish Cages,72,1152,17,https://coralnet.ucsd.edu/source/1519/
Ensenada lobster project,206,5150,11,https://coralnet.ucsd.edu/source/1546/
Fiji_Ovalua_GSR,47,2350,21,https://coralnet.ucsd.edu/source/1578/
CREP-REA HAWAII_v2,16438,164380,63,https://coralnet.ucsd.edu/source/1579/
N. Caribbean ACA,751,37550,28,https://coralnet.ucsd.edu/source/1580/
SFS TIBS,146,3650,18,https://coralnet.ucsd.edu/source/1642/
Okinawa Coral Reef Conservation2019-20,3000,60000,72,https://coralnet.ucsd.edu/source/1645/
Pulau Bidong (PPC deep),160,16000,26,https://coralnet.ucsd.edu/source/1655/
Coral Coast Fiji,40,1000,11,https://coralnet.ucsd.edu/source/1695/
Southern Arabian Gulf Biodiversity Assessment 2019,1782,89100,96,https://coralnet.ucsd.edu/source/1713/
Catalina Community Surveys,72,5400,44,https://coralnet.ucsd.edu/source/1718/
TIBS Directed Research Mangroves,570,14250,12,https://coralnet.ucsd.edu/source/1724/
Hbay,387,9675,19,https://coralnet.ucsd.edu/source/1745/
Maunalua Bay,582,17460,15,https://coralnet.ucsd.edu/source/1749/
Heron Island 2020,16,1600,8,https://coralnet.ucsd.edu/source/1773/
Lizard v. Heron 2019,448,13440,33,https://coralnet.ucsd.edu/source/1776/
SFS TIBS 2020,80,2000,11,https://coralnet.ucsd.edu/source/1781/
Sint Eustatius,1638,49140,40,https://coralnet.ucsd.edu/source/1783/
Norfolk Island,211,21100,33,https://coralnet.ucsd.edu/source/1826/
Shrimply the Best Reef 34,66,1650,7,https://coralnet.ucsd.edu/source/1832/
"Rocky Reef Biodiversity Survey: Punta Pardelas, Argentina",560,56000,57,https://coralnet.ucsd.edu/source/1933/
2016.0,640,16000,13,https://coralnet.ucsd.edu/source/1940/
Tubastraea_DEMO,20,500,7,https://coralnet.ucsd.edu/source/1970/
Cabritte_Point_3m_100818_Transect_1,20,500,9,https://coralnet.ucsd.edu/source/1981/
403 He'eia Restoration,1233,30825,28,https://coralnet.ucsd.edu/source/1990/
2020 Barbers Point,47,4700,20,https://coralnet.ucsd.edu/source/2030/
2020 XLC algae/coral cover,180,5400,5,https://coralnet.ucsd.edu/source/2052/
Cape Maeda2020,300,3000,38,https://coralnet.ucsd.edu/source/2055/
Kelp,114,2850,13,https://coralnet.ucsd.edu/source/2088/
Reef_research_Okinawa,400,8000,27,https://coralnet.ucsd.edu/source/2091/
WAPA RFM,4649,232450,75,https://coralnet.ucsd.edu/source/2112/
2002.0,640,16000,12,https://coralnet.ucsd.edu/source/2120/
nash,90,1350,13,https://coralnet.ucsd.edu/source/2130/
Hanan Shafeeg,60,900,8,https://coralnet.ucsd.edu/source/2131/
Natural_vs_artificial,58,1450,10,https://coralnet.ucsd.edu/source/2159/
Snakebay10m,200,5000,17,https://coralnet.ucsd.edu/source/2190/
PlayaKalki_20m,200,5000,17,https://coralnet.ucsd.edu/source/2194/
La Sagesse Channel Reef,75,1875,29,https://coralnet.ucsd.edu/source/2208/
PlayaKalki_10m,200,5000,16,https://coralnet.ucsd.edu/source/2211/
