label_id,CoralFocus3Label
9fa6a606-b161-48a1-9eb5-a0058195bd14,Other invertebrates
c39ee4d2-10a0-44f4-9038-93f54a26d6e9,Macroalgae
7dcb62ef-7897-4f4f-a257-579b9303b824,Acropora - Branching
822c2874-d618-4318-8767-d9d1bcfb10a4,Acropora - Plates or tables
fb58c65a-ca32-40d3-9b66-1564fa21bcda,Acropora
6dd7accc-594c-4bdd-b964-d8d7b9afbf2b,Agaricia
bf44596a-7c47-422d-9537-8bcc87366967,Agariciidae
13d7cf02-0247-4d82-a2f7-a72224aee36b,Soft coral
3637a73f-a214-45c0-a9a4-264972d26669,Merulinidae
3768b61f-f8a0-4795-a6bf-bb96679f55bb,Astreopora
d195e356-78c4-469d-8b80-72a714ed2abe,Bare substrate
0ee3a3bb-48aa-41ec-ba75-b827443929ad,Hard coral
163ea3a1-938a-49ea-ae55-062432ec778d,Faviidae
9c0016fc-27ef-4395-aadc-67a29c793249,Coralimorph
8b8d6bc0-cb7a-46b0-9c52-286fc6e9a93e,Crustose coralline algae
6174cd7d-db13-464a-8a1d-f11f239697ba,Fungiidae
8e3c78d4-2be2-4556-9b3d-2f6e2f72cadc,Cyanobacteria
ce4fcb88-c440-443b-8afe-9648ee7f3ed1,Diploastrea
ad6fec42-3bc7-425d-98e8-2267078c481a,Mussidae
b369daf4-dde0-452f-a11e-ce0a6088e162,Dipsastraea
37bc32f7-7413-4cd3-9595-1c43fc08fc8f,Echinopora
57e73437-f4ce-4448-86a7-2803c7e4d63e,Galaxea
d0e575d9-3c36-4117-bd9f-fb633f85311f,Goniastrea
dcb8721e-dedb-4047-b7ea-06bfe158d77c,Seagrass
17dbe822-d107-4c21-a239-751bf9f45912,Hard coral - Branching
4a4d4fae-9d9c-4ef1-8a30-a339c58daac1,Hard coral - Digitate
ec36871d-9346-415d-abba-d18d2446c493,Hard coral - Encrusting
64da606c-9d5e-4e0d-be5e-2b7b3c18d77d,Hard coral - Foliose
b2d1f143-02d3-4e9d-a02f-2811efac993e,Hard coral - Massive
afb95b1a-eb95-4468-910f-18a554971384,Heliopora
47526e40-022a-4091-a4c8-13aebfb5a2d3,Isopora
9dd55aa7-4095-4cdb-af8b-60971dc4cc94,Leptastrea
a4cb785c-3f4e-400b-94b2-da9290f3d064,Lobophyllia
6a6c8706-9528-4486-945a-fde4f43a8ebf,Madracis
58c5fbcb-c404-4502-b5be-393c3d218093,Meandrina meandrites
6daeb7c9-27bb-41aa-94bf-5f92ab40d951,Millepora
e07eb448-65c3-4459-bfe2-1ce15419e32e,Montastraea
b9e6f387-bc0d-419d-8c66-34fe0b611112,Montipora - Encrusting
8f6dfbbd-461a-444b-9264-823cee051ead,Montipora - Foliose
3025db54-962a-4700-a710-46b02d2c07b2,Montipora
23909de4-69c9-4f57-9be1-0a077b5b2429,Orbicella
6e2010a0-f8bb-47ca-9d80-cd9d3aece7f1,Pavona
e14470c3-f4c8-4e52-83cc-b09e585461a9,Platygyra
ff9478fd-381a-4c2f-b91a-3f1c9732c831,Pocillopora
3baac53d-9e7b-4645-bc72-e0b0f110fea3,Porites - Branching
b280e043-1488-44e9-8bda-5cc092a0d81d,Porites - Massive
eb7b98aa-43b6-4c9d-9d5e-0c978b6993a1,Psammocora
f4c4cd1f-7fb5-44bb-8fab-f59297fada45,Pseudodiploria
10e8a19b-6c16-46a4-9711-ff91ea782f4f,Rubble
cef9c39d-3420-4769-be5d-935dcdd27593,Sand
4665cb78-ce52-4b6e-bd33-d45ef7b4643d,Seriatopora
9e287eaf-3277-48ca-a1bc-0773eeec4b68,Siderastrea
9aa72501-16df-4ef5-955f-513cb0cc21b7,Stylophora
d3afb52b-eb35-493d-9a5b-05381eefef00,Turbinaria-coral
753465c3-ea5c-4662-beb7-6039ef809a81,Turf algae
